timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731938461038,173,SignIn,200,OK,Thread Group 1-76,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,173,0,0
1731938461037,174,SignIn,200,OK,Thread Group 1-23,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,174,0,0
1731938461039,173,SignIn,200,OK,Thread Group 1-67,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,173,0,0
1731938459598,1614,LunchBrowser,200,OK,Thread Group 1-40,text,true,,1466,697,100,100,https://bstackdemo.com/,1614,0,1392
1731938459849,1365,LunchBrowser,200,OK,Thread Group 1-47,text,true,,1466,697,100,100,https://bstackdemo.com/,1365,0,1166
1731938461037,180,SignIn,200,OK,Thread Group 1-77,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461036,183,SignIn,200,OK,Thread Group 1-17,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,183,0,0
1731938459934,1289,LunchBrowser,200,OK,Thread Group 1-56,text,true,,1466,697,100,100,https://bstackdemo.com/,1289,0,1081
1731938459913,1312,LunchBrowser,200,OK,Thread Group 1-53,text,true,,1466,697,100,100,https://bstackdemo.com/,1312,0,1102
1731938459479,1748,LunchBrowser,200,OK,Thread Group 1-22,text,true,,1466,697,100,100,https://bstackdemo.com/,1748,0,1531
1731938459474,1764,LunchBrowser,200,OK,Thread Group 1-19,text,true,,1466,697,100,100,https://bstackdemo.com/,1763,0,1547
1731938459886,1355,LunchBrowser,200,OK,Thread Group 1-49,text,true,,1466,697,100,100,https://bstackdemo.com/,1354,0,1143
1731938460598,650,LunchBrowser,200,OK,Thread Group 1-82,text,true,,1466,697,100,100,https://bstackdemo.com/,650,0,446
1731938460354,895,LunchBrowser,200,OK,Thread Group 1-78,text,true,,1466,697,100,100,https://bstackdemo.com/,894,0,693
1731938461090,161,SignIn,200,OK,Thread Group 1-87,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,161,0,0
1731938461090,161,SignIn,200,OK,Thread Group 1-38,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,161,0,0
1731938460613,644,LunchBrowser,200,OK,Thread Group 1-91,text,true,,1466,697,100,100,https://bstackdemo.com/,644,0,438
1731938461092,167,SignIn,200,OK,Thread Group 1-34,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,167,0,0
1731938461104,169,SignIn,200,OK,Thread Group 1-89,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,169,0,0
1731938461109,166,SignIn,200,OK,Thread Group 1-57,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,166,0,0
1731938461113,164,SignIn,200,OK,Thread Group 1-72,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,163,0,0
1731938461110,169,SignIn,200,OK,Thread Group 1-74,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,169,0,0
1731938461107,174,SignIn,200,OK,Thread Group 1-65,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,174,0,0
1731938461103,180,SignIn,200,OK,Thread Group 1-30,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461111,173,SignIn,200,OK,Thread Group 1-68,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,173,0,0
1731938461115,170,SignIn,200,OK,Thread Group 1-79,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,170,0,0
1731938461107,180,SignIn,200,OK,Thread Group 1-86,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461109,179,SignIn,200,OK,Thread Group 1-59,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,179,0,0
1731938461120,170,SignIn,200,OK,Thread Group 1-61,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,170,0,0
1731938461112,180,SignIn,200,OK,Thread Group 1-62,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461112,180,SignIn,200,OK,Thread Group 1-81,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461118,174,SignIn,200,OK,Thread Group 1-36,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,174,0,0
1731938461114,181,SignIn,200,OK,Thread Group 1-88,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,181,0,0
1731938460625,670,LunchBrowser,200,OK,Thread Group 1-84,text,true,,1466,697,100,100,https://bstackdemo.com/,670,0,460
1731938461108,186,SignIn,200,OK,Thread Group 1-71,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,186,0,0
1731938461115,179,SignIn,200,OK,Thread Group 1-37,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,179,0,0
1731938461121,174,SignIn,200,OK,Thread Group 1-3,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,174,0,0
1731938461115,180,SignIn,200,OK,Thread Group 1-9,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461118,182,SignIn,200,OK,Thread Group 1-31,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,182,0,0
1731938461123,178,SignIn,200,OK,Thread Group 1-24,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,178,0,0
1731938461115,188,SignIn,200,OK,Thread Group 1-13,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,188,0,0
1731938460696,612,LunchBrowser,200,OK,Thread Group 1-94,text,true,,1466,697,100,100,https://bstackdemo.com/,612,0,399
1731938461130,178,SignIn,200,OK,Thread Group 1-21,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,178,0,0
1731938460695,614,LunchBrowser,200,OK,Thread Group 1-95,text,true,,1466,697,100,100,https://bstackdemo.com/,614,0,406
1731938460623,687,LunchBrowser,200,OK,Thread Group 1-92,text,true,,1466,697,100,100,https://bstackdemo.com/,686,0,475
1731938461128,187,SignIn,200,OK,Thread Group 1-18,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,187,0,0
1731938461128,191,SignIn,200,OK,Thread Group 1-7,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,191,0,0
1731938461147,184,SignIn,200,OK,Thread Group 1-27,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,184,0,0
1731938461151,182,SignIn,200,OK,Thread Group 1-54,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,182,0,0
1731938461148,186,SignIn,200,OK,Thread Group 1-48,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,186,0,0
1731938461151,183,SignIn,200,OK,Thread Group 1-52,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,183,0,0
1731938461150,185,SignIn,200,OK,Thread Group 1-5,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,185,0,0
1731938461148,187,SignIn,200,OK,Thread Group 1-51,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,187,0,0
1731938461170,168,SignIn,200,OK,Thread Group 1-6,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,168,0,0
1731938460381,959,LunchBrowser,200,OK,Thread Group 1-90,text,true,,1461,697,100,100,https://bstackdemo.com/,959,0,758
1731938461173,170,SignIn,200,OK,Thread Group 1-50,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,170,0,0
1731938461152,192,SignIn,200,OK,Thread Group 1-10,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,192,0,0
1731938461159,185,SignIn,200,OK,Thread Group 1-25,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,185,0,0
1731938460718,626,LunchBrowser,200,OK,Thread Group 1-99,text,true,,1466,697,100,100,https://bstackdemo.com/,626,0,418
1731938460714,631,LunchBrowser,200,OK,Thread Group 1-98,text,true,,1466,697,100,100,https://bstackdemo.com/,631,0,429
1731938461149,194,SignIn,200,OK,Thread Group 1-20,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,194,0,0
1731938461128,214,Orders,404,Not Found,Thread Group 1-58,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,214,0,0
1731938461151,194,Orders,404,Not Found,Thread Group 1-42,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,194,0,0
1731938461156,196,SignIn,200,OK,Thread Group 1-2,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,195,0,0
1731938461189,165,SignIn,200,OK,Thread Group 1-32,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,164,0,0
1731938461125,219,Orders,404,Not Found,Thread Group 1-33,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,218,0,0
1731938460708,649,LunchBrowser,200,OK,Thread Group 1-96,text,true,,1466,697,100,100,https://bstackdemo.com/,649,0,427
1731938461161,198,SignIn,200,OK,Thread Group 1-43,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,198,0,0
1731938461154,207,Orders,404,Not Found,Thread Group 1-63,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,207,0,0
1731938461125,238,Orders,404,Not Found,Thread Group 1-12,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,238,0,0
1731938461163,201,SignIn,200,OK,Thread Group 1-29,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,201,0,0
1731938461177,187,SignIn,200,OK,Thread Group 1-46,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,187,0,0
1731938461166,198,SignIn,200,OK,Thread Group 1-45,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,198,0,0
1731938460720,645,LunchBrowser,200,OK,Thread Group 1-100,text,true,,1466,697,100,100,https://bstackdemo.com/,644,0,417
1731938461141,225,Orders,404,Not Found,Thread Group 1-28,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,225,0,0
1731938461129,237,Orders,404,Not Found,Thread Group 1-66,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,237,0,0
1731938461127,216,Orders,404,Not Found,Thread Group 1-64,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,216,0,0
1731938460004,1362,LunchBrowser,200,OK,Thread Group 1-69,text,true,,1466,697,100,100,https://bstackdemo.com/,1362,0,1141
1731938460367,1001,LunchBrowser,200,OK,Thread Group 1-80,text,true,,1466,697,100,100,https://bstackdemo.com/,1000,0,768
1731938460620,748,LunchBrowser,200,OK,Thread Group 1-83,text,true,,1466,697,100,100,https://bstackdemo.com/,748,0,515
1731938460627,742,LunchBrowser,200,OK,Thread Group 1-93,text,true,,1466,697,100,100,https://bstackdemo.com/,742,0,512
1731938460630,741,LunchBrowser,200,OK,Thread Group 1-85,text,true,,1466,697,100,100,https://bstackdemo.com/,741,0,507
1731938461147,196,Orders,404,Not Found,Thread Group 1-70,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,196,0,0
1731938461196,180,SignIn,200,OK,Thread Group 1-35,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461205,172,SignIn,200,OK,Thread Group 1-16,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,172,0,0
1731938461213,166,SignIn,200,OK,Thread Group 1-40,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,166,0,0
1731938461175,205,Orders,404,Not Found,Thread Group 1-14,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,205,0,0
1731938461211,170,SignIn,200,OK,Thread Group 1-44,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,170,0,0
1731938461149,232,Orders,404,Not Found,Thread Group 1-41,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,232,0,0
1731938461210,172,SignIn,200,OK,Thread Group 1-4,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,172,0,0
1731938461224,160,SignIn,200,OK,Thread Group 1-56,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,160,0,0
1731938461226,159,SignIn,200,OK,Thread Group 1-53,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,159,0,0
1731938461215,173,SignIn,200,OK,Thread Group 1-47,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,173,0,0
1731938461218,173,Orders,404,Not Found,Thread Group 1-77,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,173,0,0
1731938461207,187,Orders,404,Not Found,Thread Group 1-15,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,186,0,0
1731938461238,158,SignIn,200,OK,Thread Group 1-19,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,158,0,0
1731938461192,207,Orders,404,Not Found,Thread Group 1-39,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,207,0,0
1731938461228,175,SignIn,200,OK,Thread Group 1-22,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,175,0,0
1731938461242,172,SignIn,200,OK,Thread Group 1-49,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,172,0,0
1731938461253,161,SignIn,200,OK,Thread Group 1-78,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,161,0,0
